name,title,expertise_topics
Trevor Fetter,Senior Lecturer,"healthcare,leadership,business,wellness,innovation"
Kenneth A. Froot,"André R. Jakurski Professor of Business Administration, Emeritus","business,education,healthcare,AI,leadership"
David G. Fubini,"Senior Lecturer of Business Administration, Henry B. Arthur Fellow","leadership,business,healthcare,education,innovation"
Susanna Gallani,Tai Family Associate Professor of Business Administration,"healthcare,wellness,leadership,business,social impact"
Christopher Golden,Associate Professor of Nutrition and Planetary Health,"wellness,social impact,lifestyle,healthcare,science"
Richard G. Hamermesh,"MBA Class of 1961 Professor of Management Practice, Retired","healthcare,wellness,innovation,business,leadership"
Regina E. Herzlinger,Nancy R. McPherson Professor of Business Administration,"healthcare,wellness,leadership,business,innovation"
Scott Delaney,Research Scientist in Environmental Health,"social impact,wellness,lifestyle,healthcare,science"
Nien-he Hsieh,Kim B. Clark Professor of Business Administration,"leadership,business,education,social impact,wellness"
Robert S. Huckman,Albert J. Weatherhead III Professor of Business Administration,"leadership,healthcare,wellness,business,education"
Damian Beil,"Donald C. Cook Professor of Business Administration, Professor of Technology and Operations, Chair of Technology and Operations","business,leadership,technology,innovation,education"
Josh Botkin,Lecturer in Entrepreneurial Studies,"innovation,business,education,wellness,AI"
David Canter,"LEO Intermittent Lecturer, Executive Director","healthcare,leadership,business,wellness,innovation"
Paul Clyde,Clinical Professor of Business Economics and Public Policy,"healthcare,business,wellness,social impact,education"
Barbara Buckinx,"Research Scholar, Liechtenstein Institute on Self-Determination (LISD)","social impact,leadership,education,AI,wellness"
Amir Ghaferi,Adjunct Professor MM Surgery - General Surgery Administration (GSA/ADM),"healthcare,wellness,leadership,arts,business"
Andrew Buher,Lecturer of Public and International Affairs,"education,leadership,wellness,social impact,healthcare"
Adam Haber,Assistant Professor of Computational Biology and Environmental Health,"healthcare,wellness,AI,lifestyle,science"
Brad Killaly,Clinical Associate Professor of Strategy,"healthcare,leadership,education,business,wellness"
Pascale Leroueil,,"healthcare,wellness,education,innovation,leadership"
Greg Lewis,LEO Intermittment Lecturer,"leadership,healthcare,education,wellness,business"
Bill Lovejoy,"Raymond T. J. Perring Family Professor of Business Administration, Professor of Technology and Operations, Professor of Art and Design","innovation,business,technology,wellness,healthcare"
Nitin Mittal,Principal & global AI leader,"AI,leadership,innovation,education,healthcare"
Vivienne Ming,Chair of Advisory Board,"AI,innovation,technology,leadership,social impact"
Alicia Sasser,Associate Professor,"social impact,education,wellness,healthcare,leadership"
Tanzeem Choudhury,Professor,"wellness,healthcare,technology,AI,innovation"
Tsung-Mei Cheng,"Health Policy Research Analyst at the Woodrow Wilson School of Public and International Affairs, Princeton University","healthcare,wellness,leadership,social impact,innovation"
Jane Lee,Vice President,"innovation,technology,business,healthcare,wellness"
Alex Lehman,Vice President,"sports,business,AI,innovation,arts"
Daryl Tol,CEO and Leader of General Catalyst's Health Assurance Ecosystem,"wellness,healthcare,leadership,innovation,business"
Kapish Vanvaria,Risk Market Leader,"business,innovation,leadership,technology,AI"
David Reichenberg,Partner,"business,leadership,innovation,healthcare,entertainment"
Demi Obayomi,Vice President,"business,innovation,AI,education,arts"
Julie Elizabeth Buring,Adjunct Professor of Epidemiology,"healthcare,wellness,sports,lifestyle,leadership"
Jaime Moreno Serna,Visiting Scientist in Environmental Health,"leadership,wellness,science,lifestyle,education"
Pepe Zhang,Senior Fellow,"social impact,business,innovation,education,AI"
Janet M. Currie,"Henry Putnam Professor of Economics and Public Affairs, Princeton School of Public and International Affairs","wellness,healthcare,social impact,education,science"
Shea W. Cronin,Professor,"education,social impact,arts,leadership,AI"
David Seignolle,Partner,"business,leadership,innovation,healthcare,technology"
Chaim Sanders,"Senior Manager, Security & Data Privacy","leadership,education,technology,AI,healthcare"
Jim Routh,"Board Member, Advisor and Investor","leadership,AI,innovation,healthcare,technology"
S Sriram,"Associate Dean for Graduate Programs, Dwight F. Benton Professor of Marketing, Michael R. and Mary Kay Hallman Faculty Fellow, Professor","business,leadership,innovation,lifestyle,education"
Stewart Thornhill,"Eugene Applebaum Professor of Entrepreneurial Studies; Executive Director, Samuel Zell & Robert H. Lurie Institute for Entrepreneurial Studies; Professor of Business Administration; Area Chair of Entrepreneurial Studies","innovation,leadership,business,education,social impact"
Gillian Christie,Adjunct Lecturer on Health Policy and Management,"wellness,healthcare,leadership,lifestyle,business"
Carolyn Yoon,"Associate Dean for Diversity, Equity, & Inclusion, Wilbur K. Pierpont Collegiate Professor of Management, Professor of Marketing","lifestyle,social impact,wellness,culture,leadership"
